Source,Title,Link,Published Date
The Hacker News,North Korean Hackers Target Freelance Developers in Job Scam to Deploy Malware,https://thehackernews.com/2025/02/north-korean-hackers-target-freelance.html,"Thu, 20 Feb 2025 19:07:00 +0530"
The Hacker News,China-Linked Attackers Exploit Check Point Flaw to Deploy ShadowPad and Ransomware,https://thehackernews.com/2025/02/chinese-linked-attackers-exploit-check.html,"Thu, 20 Feb 2025 16:51:00 +0530"
The Hacker News,PCI DSS 4.0 Mandates DMARC By 31st March 2025,https://thehackernews.com/2025/02/pci-dss-40-mandates-dmarc-by-31st-march.html,"Thu, 20 Feb 2025 16:51:00 +0530"
The Hacker News,Cybercriminals Use Eclipse Jarsigner to Deploy XLoader Malware via ZIP Archives,https://thehackernews.com/2025/02/cybercriminals-use-eclipse-jarsigner-to.html,"Thu, 20 Feb 2025 16:42:00 +0530"
The Hacker News,Microsoft's End of Support for Exchange 2016 and 2019: What IT Teams Must Do Now,https://thehackernews.com/2025/02/microsoft-end-of-support-for-exchange-2016-and-exchange-2019.html,"Thu, 20 Feb 2025 15:30:00 +0530"
The Hacker News,Citrix Releases Security Fix for NetScaler Console Privilege Escalation Vulnerability,https://thehackernews.com/2025/02/citrix-releases-security-fix-for.html,"Thu, 20 Feb 2025 10:06:00 +0530"
The Hacker News,Microsoft Patches Actively Exploited Power Pages Privilege Escalation Vulnerability,https://thehackernews.com/2025/02/microsoft-patches-actively-exploited.html,"Thu, 20 Feb 2025 09:59:00 +0530"
The Hacker News,Hackers Exploit Signal's Linked Devices Feature to Hijack Accounts via Malicious QR Codes,https://thehackernews.com/2025/02/hackers-exploit-signals-linked-devices.html,"Wed, 19 Feb 2025 22:29:00 +0530"
The Hacker News,New Snake Keylogger Variant Leverages AutoIt Scripting to Evade Detection,https://thehackernews.com/2025/02/new-snake-keylogger-variant-leverages.html,"Wed, 19 Feb 2025 18:15:00 +0530"
The Hacker News,The Ultimate MSP Guide to Structuring and Selling vCISO Services,https://thehackernews.com/2025/02/the-ultimate-msp-guide-to-structuring.html,"Wed, 19 Feb 2025 16:30:00 +0530"
